route_distance_m,route_eta_sec,atm_count,bank_count,restaurant_count,pharmacy_count,cafe_count,shopping_mall_count,supermarket_count,hospital_count,police_count,bus_station_count,train_station_count,commercial_activity_score,emergency_presence_score,transport_activity_score,isolation_score,redzone_overlap_score,incident_density,avg_incident_severity,temporal_risk_score,nighttime_score,risk_probability
7106,1075,1,0,9,1,5,3,3,2,1,4,0,20,3,4,48.0,0.109536,2.673797,2.128576,4.545066,0.496929,0.272702
8711,906,2,0,6,0,4,0,3,2,1,1,0,13,3,1,66.5,0.711213,6.199059,3.958467,48.987937,0.581032,0.528373
5644,1132,3,0,10,2,14,1,3,1,0,4,2,28,1,6,33.0,1.0,7.61871,6.784307,178.185211,0.404434,0.700588
7071,520,0,2,2,1,4,0,1,0,0,4,1,7,0,5,78.5,0.396884,4.242681,5.033214,16.25492,0.808308,0.586043
2996,481,1,3,7,2,9,1,1,1,0,3,0,18,1,3,57.5,0.864206,8.344459,6.178979,50.201929,0.840166,0.677978
3319,332,0,0,3,1,1,0,2,1,0,1,1,6,1,2,83.0,0.076415,0.301296,4.584467,0.0,0.122888,0.246135
11896,1218,0,3,5,1,5,0,0,0,1,5,0,10,1,5,70.5,0.757395,6.220578,5.393415,85.637308,0.604496,0.657027
3200,300,0,0,1,0,2,0,0,1,0,1,1,3,1,2,89.0,0.844846,6.25,6.504623,14.008287,0.332217,0.641902
8629,539,0,0,0,0,4,0,0,0,0,1,1,4,0,2,89.0,0.983415,6.605632,7.444201,261.691496,0.760701,0.729135
4156,472,0,2,3,2,7,0,0,1,0,2,0,10,1,2,75.0,0.183538,2.40616,2.663177,0.022951,0.389809,0.187104
6090,774,2,3,4,1,8,0,1,2,0,3,2,13,2,5,62.5,0.029361,0.492611,3.003902,0.84839,0.133732,0.131135
8356,863,1,0,3,0,5,0,2,2,0,1,0,10,2,1,74.5,0.520905,4.54763,4.842513,18.189246,0.175221,0.49816
10324,1413,6,2,12,2,7,2,4,1,2,3,2,25,3,5,36.5,0.65261,3.390159,4.170717,25.883153,0.330847,0.423312
4500,381,0,0,1,3,2,0,1,1,0,0,1,4,1,1,88.5,1.0,6.0,6.174048,31.282459,0.485442,0.717272
4605,598,1,0,3,2,1,0,0,1,1,2,1,4,2,3,83.5,0.496976,4.12595,4.247724,15.196859,0.475407,0.494897
5419,446,3,0,4,0,3,1,1,0,0,4,0,9,0,4,76.0,0.517866,5.536077,5.044375,33.910886,0.98843,0.536072
7689,715,1,0,6,2,6,1,2,1,0,1,2,15,1,3,63.5,0.059197,1.690727,3.077155,8.265701,0.454691,0.245946
3759,300,1,0,3,0,2,1,0,0,0,0,0,6,0,0,88.0,0.405371,5.054536,5.304646,48.002014,0.956025,0.48326
6757,554,1,0,5,1,2,0,2,0,0,0,0,9,0,0,82.0,0.242823,3.403877,3.926463,17.619677,0.698457,0.436435
16500,1385,0,0,9,1,11,0,6,1,1,2,2,26,2,4,38.0,0.824151,5.515152,5.385102,102.291707,0.219339,0.570483
7022,1082,1,1,9,0,4,1,2,2,3,5,1,16,5,6,49.0,0.200725,2.848191,2.738638,3.896411,0.339348,0.24412
15526,1096,1,0,6,2,10,0,5,0,0,2,1,21,0,3,53.5,1.0,8.115419,5.926673,76.351682,0.649568,0.754279
3284,419,3,0,8,0,7,0,1,0,0,0,0,16,0,0,68.0,0.059781,1.82704,3.473674,0.859335,0.487846,0.272306
4500,304,1,1,2,0,1,0,0,0,1,1,2,3,1,3,87.5,0.68708,7.777778,5.522599,161.496114,0.887438,0.732876
7029,912,2,0,7,2,3,4,5,1,4,2,0,19,5,2,49.0,0.058538,1.28041,2.48755,0.693821,0.362963,0.148277
11242,1707,2,0,8,1,5,1,3,0,2,6,0,17,2,6,53.0,0.651035,4.447607,5.48899,22.358928,0.492123,0.533526
3200,300,1,0,3,0,0,0,0,0,0,2,0,3,0,2,91.0,0.637215,4.375,4.227105,7.131637,0.808359,0.488695
8629,1105,3,2,10,0,9,1,2,1,2,3,3,22,3,6,41.0,0.540209,4.05609,4.365728,4.464318,0.421731,0.343549
4501,637,1,0,7,3,4,1,1,0,0,0,2,13,0,2,71.0,0.077283,2.221729,3.677424,2.574737,0.627253,0.271412
6682,805,3,2,13,2,4,0,2,0,0,4,0,19,0,4,56.0,0.68983,4.190362,4.317392,16.442138,0.294615,0.455532
9308,608,1,0,2,1,4,1,3,0,0,2,0,10,0,2,77.0,0.934791,6.123765,5.925435,205.261236,0.909926,0.672468
10324,1401,3,1,7,2,10,5,2,0,1,3,1,24,1,4,44.0,0.74401,4.165052,4.702222,15.51738,0.612182,0.453865
8813,550,1,0,5,1,1,0,0,1,0,0,0,6,1,0,86.0,0.717356,7.148531,5.030371,68.153003,0.780538,0.66177
15000,1565,1,0,12,2,9,4,5,0,2,7,3,30,2,10,21.0,0.556062,6.6,4.953444,26.452757,0.957436,0.516402
4996,325,0,0,0,1,4,0,2,0,0,1,0,6,0,1,86.5,0.861894,4.603683,6.483477,90.460043,0.943463,0.654616
4132,300,1,0,3,2,1,0,2,1,1,1,1,6,2,2,81.0,0.523081,4.11423,4.148929,17.288099,0.956432,0.532783
15360,960,2,1,9,0,9,2,1,0,0,2,2,21,0,4,52.0,0.977509,7.291667,6.84994,465.121235,0.977438,0.706571
5218,519,3,0,2,1,0,0,0,1,0,0,1,2,1,1,92.5,0.029251,1.533154,2.484914,0.268972,0.025014,0.176589
11000,1347,4,1,17,4,10,2,2,1,2,3,2,31,3,5,24.5,0.192571,0.363636,3.597363,2.937506,0.031103,0.121784
8250,752,3,2,15,2,9,0,4,1,1,2,0,28,2,2,37.0,0.194271,1.818182,2.913102,3.664698,0.19889,0.230855
8076,531,1,1,3,3,0,0,0,0,0,1,0,3,0,1,92.5,1.0,6.438831,6.466122,218.455149,0.904628,0.750416
6801,523,2,2,8,2,4,0,2,0,0,2,0,14,0,2,69.0,0.474956,6.469637,5.061509,37.07195,0.821247,0.521466
1500,312,1,1,3,0,2,0,0,1,0,0,0,5,1,0,88.0,0.126925,2.0,3.323313,1.017086,0.268667,0.255229
8141,1290,7,1,10,2,12,2,1,1,2,4,0,25,3,4,38.0,0.123444,0.73701,2.668116,0.030083,0.235047,0.204084
5623,869,1,1,11,0,11,0,4,0,3,2,1,26,3,3,37.5,0.881224,10.49262,5.978562,75.526572,0.997486,0.756984
7775,930,0,1,6,2,3,0,1,0,2,3,0,10,2,3,71.5,0.137835,2.057878,3.42525,1.229424,0.257907,0.220738
2800,410,2,2,7,3,8,0,2,0,0,1,0,17,0,1,64.5,1.0,9.285714,5.863378,87.415588,0.780092,0.804004
6037,824,2,1,3,2,4,1,1,2,0,2,0,9,2,2,75.0,0.663611,3.147259,4.170517,6.775052,0.526265,0.435543
4129,651,3,0,6,1,4,1,1,2,0,2,1,12,2,3,67.5,0.072474,1.210947,1.960607,2.671468,0.095177,0.20406
8598,1299,4,0,6,3,3,1,0,3,0,5,1,10,3,6,65.0,0.641482,6.28053,4.758198,20.727958,0.242537,0.543042
1500,300,1,0,2,1,1,0,1,0,0,0,0,4,0,0,92.0,0.151923,2.0,2.988059,1.1e-05,0.438151,0.236604
4298,406,0,0,1,0,0,0,2,0,0,2,0,3,0,2,91.0,0.662751,4.885993,3.929466,21.666324,0.435455,0.493564
3853,362,1,2,0,0,0,0,0,0,0,5,1,0,0,6,91.0,0.326031,2.335842,2.805805,0.095757,0.143436,0.323559
5811,796,4,1,5,0,4,1,0,1,1,4,1,10,2,5,68.5,0.199833,1.720874,3.640131,1.021722,0.456591,0.221226
16662,1090,4,2,6,0,2,2,1,1,1,3,1,11,2,4,68.0,0.887875,6.961949,6.447568,306.937034,0.785365,0.801641
5488,566,2,0,4,1,3,0,2,1,1,1,1,9,2,2,75.0,0.207944,2.186589,2.709734,3.199348,0.50375,0.169201
11990,992,5,3,10,1,6,0,6,0,0,1,0,22,0,1,54.5,0.6315,4.336947,4.803877,29.194068,0.026999,0.504551
6075,782,0,3,12,1,6,1,4,2,0,3,0,23,2,3,45.5,0.903971,9.547325,5.77707,207.740945,0.724718,0.672326
13000,1395,4,1,11,4,4,4,1,2,1,3,0,20,3,3,49.5,0.036864,1.692308,2.593929,0.095179,0.470882,0.204356
18000,1293,0,3,14,0,3,2,2,1,1,1,1,21,2,2,51.0,0.849301,5.833333,5.468231,357.744167,0.744263,0.676473
1500,300,0,0,2,0,1,0,0,0,0,2,0,3,0,2,91.0,0.183805,0.666667,1.244633,0.0,0.169392,0.240413
15000,2642,9,4,16,6,11,3,4,2,3,18,2,34,5,20,0.0,0.734769,4.533333,4.304931,33.952355,0.501549,0.508917
11450,1426,0,2,6,1,6,2,2,2,2,3,2,16,4,5,52.5,0.769946,5.938865,4.677114,30.709982,0.447782,0.60958
5550,792,2,0,6,1,3,0,1,1,0,4,0,10,1,4,72.0,0.402659,4.144144,4.721417,8.811967,0.324783,0.425324
11670,1387,1,2,7,0,1,0,1,1,1,2,3,9,2,5,70.5,0.363634,4.37018,4.216785,43.403752,0.523313,0.565394
5478,838,0,2,6,2,2,1,1,0,0,2,2,10,0,4,74.0,0.50575,5.111355,5.691846,30.568124,0.29954,0.531705
3200,307,2,2,1,1,1,0,1,0,0,2,0,3,0,2,91.0,0.353279,3.75,4.213462,10.823746,0.681224,0.460436
14260,891,4,1,3,1,4,0,3,1,0,2,1,10,1,3,73.5,1.0,7.223001,6.33684,449.427085,0.771038,0.72599
8373,618,1,2,5,0,2,1,2,0,0,3,0,10,0,3,75.5,0.87691,9.435089,5.945636,138.830086,0.730207,0.737224
8638,576,0,1,5,1,3,0,0,2,0,0,0,8,2,0,80.0,0.961347,5.325307,7.300189,226.131143,0.755561,0.754523
5404,1144,4,0,13,3,10,0,2,1,0,1,1,25,1,2,45.0,0.747253,8.327165,6.094953,35.488229,0.522904,0.660847
7834,1112,3,2,20,2,11,2,3,0,0,5,0,36,0,5,20.5,0.845252,6.382436,5.605958,152.037693,0.92114,0.650564
6472,639,1,4,4,0,4,1,1,1,1,3,1,10,2,4,70.0,0.052063,0.772559,2.336574,1.995647,0.231454,0.201604
7802,710,0,1,5,1,5,1,0,1,1,2,0,11,2,2,71.0,0.620985,4.357857,4.75114,4.97268,0.117204,0.483124
11572,1144,2,4,11,1,8,3,4,1,1,4,4,26,2,8,32.0,0.632606,3.110957,4.368608,4.558777,0.036915,0.412719
6992,838,4,2,19,2,6,1,5,0,3,3,4,31,3,7,21.5,0.899908,8.009153,6.270989,206.645297,0.844962,0.663541
8461,721,1,0,2,0,4,1,1,0,0,0,1,8,0,1,82.5,0.965365,7.564118,6.639141,23.494424,0.320827,0.71597
9280,764,1,2,4,0,1,0,1,0,0,0,0,6,0,0,88.0,0.960356,9.159483,6.082152,207.246017,0.603542,0.871005
7973,687,0,0,3,0,2,0,2,0,2,1,0,7,2,1,80.5,0.870836,4.264392,6.15264,22.715863,0.681311,0.660869
8668,1299,3,1,8,3,5,1,7,0,1,1,0,21,1,1,54.5,0.244883,3.576373,2.801133,7.857585,0.310588,0.276392
7995,572,3,1,4,3,6,1,7,1,0,2,1,18,1,3,57.5,0.611114,5.128205,4.38788,39.708655,0.869723,0.547558
7619,603,1,1,10,1,10,0,0,2,2,5,2,20,4,7,41.5,0.371623,5.643785,4.621375,11.039541,0.871522,0.460074
13809,1018,2,1,3,0,3,1,3,0,1,0,0,10,1,0,78.0,0.714513,6.372656,5.772382,355.537025,0.814188,0.66063
10266,1254,2,0,11,3,9,0,7,1,2,4,1,27,3,5,32.5,0.438297,3.506721,3.972945,50.870926,0.582591,0.427149
4929,651,4,3,6,1,2,1,2,2,0,1,1,11,2,2,71.0,0.068212,1.825928,2.67826,1.33853,0.54096,0.224302
7714,824,1,2,7,3,7,0,5,3,1,3,1,19,4,4,48.0,0.106596,2.463054,2.582758,4.292828,0.110179,0.204034
11499,718,1,3,6,4,3,2,2,1,0,0,0,13,1,0,72.0,1.0,8.261588,6.421722,406.693297,0.943335,0.76856
10650,665,1,2,4,0,3,0,1,0,0,0,0,8,0,0,84.0,0.974499,7.41784,6.547224,99.523177,0.912099,0.862599
5595,807,1,1,0,1,2,0,1,0,0,1,1,3,0,2,91.0,0.080192,2.859696,2.755524,0.631473,0.467565,0.302529
12837,941,0,1,4,3,4,0,1,2,0,1,1,9,2,2,75.0,0.387655,3.972891,4.303837,28.358161,0.952787,0.470561
12169,1128,2,3,7,3,8,2,3,6,3,1,3,20,9,4,36.0,0.85018,6.245378,6.603355,58.927465,0.93994,0.630932
5998,659,1,1,11,1,4,0,0,0,1,2,0,15,1,2,65.0,0.836484,7.335779,4.3201,8.381902,0.03646,0.53758
3981,370,1,3,4,1,2,0,2,0,1,1,0,8,1,1,80.5,0.034087,1.255966,2.442621,0.280837,0.217574,0.228025
4495,688,4,2,12,0,7,2,1,1,0,0,0,22,1,0,54.0,0.837306,8.231368,5.959486,119.926821,0.656571,0.655838
6151,619,1,1,11,0,4,0,2,3,0,7,1,17,3,8,48.0,0.889781,6.665583,4.544302,34.629281,0.212898,0.611688
4500,414,1,0,2,0,0,2,1,0,0,3,0,5,0,3,85.5,0.823117,6.666667,6.024239,62.485472,0.648195,0.710596
3935,429,3,1,8,3,3,0,0,0,0,0,0,11,0,0,78.0,0.169481,1.778907,3.297196,0.08204,0.740973,0.289214
2712,416,1,0,4,0,3,0,0,0,0,2,0,7,0,2,83.0,0.078238,2.212389,2.060926,0.445341,0.403637,0.22711
3200,381,0,1,5,0,1,0,1,0,0,2,0,7,0,2,83.0,0.783671,7.5,4.738419,15.502602,0.221915,0.625593
3942,602,3,1,7,1,6,3,0,0,0,3,1,16,0,4,62.0,0.682334,5.834602,5.403565,19.689715,0.883511,0.662296
2600,300,0,1,2,1,2,0,0,0,0,2,0,4,0,2,89.0,0.750265,4.615385,5.184447,5.68186,0.689063,0.516097
6655,415,1,0,2,2,1,0,0,0,0,0,1,3,0,1,92.5,0.819136,9.015778,5.812292,31.3714,0.860326,0.749645
16500,1133,1,1,14,1,15,1,4,1,1,4,1,34,2,5,20.5,0.629815,5.454545,4.831599,47.443103,0.917363,0.413521
4335,323,1,1,1,0,4,0,1,0,1,1,0,6,1,1,84.5,0.553174,6.459054,5.541791,56.565245,0.967228,0.57614
3080,385,0,1,4,1,2,0,0,0,0,2,0,6,0,2,85.0,0.714211,3.896104,4.66533,5.199921,0.592568,0.434033
9242,1099,1,0,5,1,3,2,2,1,0,0,2,12,1,2,71.0,0.547103,4.760874,4.91786,33.749059,0.553787,0.435517
6080,822,0,0,3,1,4,1,4,1,1,2,2,12,2,4,66.0,0.582316,3.125,4.527757,14.233248,0.343873,0.499422
3154,551,1,1,7,3,5,0,0,1,0,0,0,12,1,0,74.0,0.947875,9.194673,6.567619,105.511819,0.519218,0.755093
5238,677,0,1,4,1,7,1,2,0,1,3,0,14,1,3,65.5,0.132598,2.481863,2.591103,1.09166,0.514593,0.242068
6013,765,2,0,5,1,5,0,0,1,0,1,0,10,1,1,76.5,0.617814,2.660901,4.69483,13.013963,0.355217,0.477773
3735,412,1,0,1,1,1,0,3,0,0,2,2,5,0,4,84.0,0.298665,3.212851,4.614736,7.943481,0.646263,0.460738
12321,982,2,2,13,3,11,2,4,1,0,6,2,30,1,8,26.0,0.059127,0.973947,2.031406,2.257186,0.256649,0.129682
12755,1576,3,0,10,3,10,1,2,1,3,12,2,23,4,14,25.0,0.603275,5.252842,4.861042,31.184257,0.39213,0.542159
13323,915,0,1,6,1,2,0,4,2,1,1,0,12,3,1,68.5,1.0,7.881108,6.869039,487.171192,0.838393,0.770136
13935,883,2,1,3,1,2,2,0,1,0,0,0,7,1,0,84.0,0.882179,7.463222,6.696153,355.63753,0.968333,0.744784
6400,1283,1,2,11,1,6,1,2,1,3,2,3,20,4,5,44.5,0.166066,2.03125,2.621068,1.20082,0.41055,0.22451
15000,1576,3,6,18,2,12,1,1,1,1,3,4,32,2,7,21.5,0.546453,5.333333,3.850757,20.158837,0.073172,0.434405
4651,524,2,1,4,1,4,0,1,1,6,2,2,9,7,4,62.0,0.213106,1.290045,3.094754,0.356784,0.546505,0.224059
14000,1447,4,2,19,1,20,1,3,3,2,7,1,43,5,8,0.0,0.785475,5.571429,5.804825,54.553759,0.761957,0.699143
8438,1222,2,3,5,3,6,0,7,2,2,4,0,18,4,4,50.0,0.051023,2.844276,2.630287,3.209249,0.510784,0.254563
4873,304,0,0,0,0,0,0,0,0,0,2,1,0,0,3,95.5,0.78722,6.566797,5.768315,106.613292,0.934271,0.673071
4071,489,0,0,7,0,4,1,1,0,1,2,1,13,1,3,67.5,0.455961,2.702039,3.945148,3.617199,0.177208,0.404948
12925,1272,4,0,12,1,8,0,5,4,6,6,2,25,10,8,18.0,0.093235,2.088975,3.922264,2.666051,0.487746,0.278632
5973,1036,1,1,18,1,5,0,0,0,0,2,2,23,0,4,48.0,0.831983,9.877783,5.872227,47.056301,0.535278,0.668867
3200,332,0,0,1,2,2,0,0,0,0,1,0,3,0,1,92.5,0.396985,3.75,3.918151,0.270592,0.390109,0.450052
3426,354,1,0,1,0,3,0,0,0,0,4,0,4,0,4,86.0,0.433668,4.670169,4.807716,14.335432,0.725857,0.463353
11000,2145,2,3,20,4,11,1,2,2,1,7,1,34,3,8,14.0,0.06334,1.727273,2.879722,8.864424,0.524532,0.197437
2449,300,1,1,3,0,2,0,0,0,0,2,0,5,0,2,87.0,0.148884,2.44998,2.74855,10.391395,0.481743,0.305832
6704,680,3,1,6,1,5,0,3,1,0,4,1,14,1,5,62.5,0.415391,5.519093,4.576063,19.83141,0.846896,0.483135
15000,1930,5,2,8,1,8,1,1,2,2,5,3,18,4,8,44.0,0.434043,3.8,3.153781,23.314705,0.511648,0.465632
6219,802,1,1,4,2,3,0,1,0,0,1,0,8,0,1,82.5,0.667117,4.180736,3.510477,15.739451,0.444258,0.477469
8584,683,0,1,3,1,5,2,3,1,0,2,0,13,1,2,69.0,0.519249,6.523765,4.124548,30.378055,0.699132,0.461099
11382,775,2,0,3,0,4,2,1,1,0,2,0,10,1,2,75.0,0.997952,8.258654,6.33311,389.332986,0.673121,0.741688
11658,1320,2,0,12,1,4,0,0,3,1,2,1,16,4,3,55.5,0.598494,5.232458,4.577396,44.479577,0.314704,0.508585
3445,452,1,0,0,0,2,0,1,2,0,0,0,3,2,0,90.0,0.778591,5.224964,5.259429,22.141192,0.496865,0.601892
12301,1386,5,3,8,1,15,0,2,0,0,9,0,25,0,9,36.5,0.717691,3.820828,5.102274,12.805988,0.409034,0.489629
3477,431,3,1,6,0,4,1,2,1,1,0,4,13,2,4,64.0,0.153301,2.588438,3.512174,3.256665,0.688647,0.281143
15000,1270,2,2,10,1,8,2,2,4,1,11,0,22,5,11,29.5,0.237626,4.133333,3.192921,21.201258,0.90468,0.485453
6308,605,1,0,5,0,0,1,0,0,0,2,2,6,0,4,82.0,0.764333,5.389981,4.804047,16.362349,0.024997,0.505982
5477,605,0,2,2,1,2,1,4,0,2,2,0,9,2,2,75.0,0.103975,3.286471,2.786025,3.133286,0.24846,0.248821
6112,524,1,1,5,0,3,0,0,0,1,3,0,8,1,3,77.5,0.412304,4.253927,3.356629,7.035303,0.012933,0.401138
3668,567,4,0,6,1,13,1,3,1,1,0,0,23,2,0,50.0,0.951237,8.7241,6.12221,144.812493,0.889819,0.714314
7903,1125,4,2,8,1,7,1,1,1,3,2,1,17,4,3,53.5,0.139501,2.530685,3.342765,6.249687,0.519245,0.203125
5630,1039,1,2,6,1,4,0,1,2,0,2,1,11,2,3,69.5,0.246568,2.309059,3.139108,4.609954,0.395834,0.271591
8845,1150,1,1,10,1,7,0,2,6,2,3,2,19,8,5,38.5,0.092065,2.374223,3.348892,11.632102,0.115155,0.19783
9826,688,2,1,4,1,1,0,0,1,0,0,0,5,1,0,88.0,0.871467,8.650519,7.513274,417.407969,0.945123,0.764809
8350,521,3,0,3,0,1,0,0,0,0,1,0,4,0,1,90.5,0.802897,5.748503,5.857092,176.633999,0.899556,0.653213
12888,805,0,0,1,2,4,1,2,1,2,1,0,8,3,1,76.5,0.801152,8.45748,4.85504,364.394152,0.802578,0.707273
3960,351,0,1,4,0,3,0,1,0,0,0,0,8,0,0,84.0,0.401911,2.777778,3.743524,7.07153,0.554838,0.303858
5363,884,4,3,7,3,4,2,6,1,2,6,2,19,3,8,44.0,0.020942,1.118777,3.695543,0.815412,0.493969,0.214958
15137,1333,1,4,4,2,4,0,2,0,1,5,0,10,1,5,70.5,0.925195,7.399088,5.487111,393.701001,0.613045,0.695151
13506,844,0,0,2,0,3,0,1,0,1,3,1,6,1,4,80.0,0.823391,7.922405,5.88629,379.571843,0.864203,0.746091
2895,398,0,0,5,0,3,0,1,0,0,0,0,9,0,0,82.0,0.556798,6.217617,3.064064,10.900522,0.537809,0.524279
11000,1252,2,3,11,0,10,2,4,6,1,4,1,27,7,5,24.5,0.067126,1.454545,2.156048,1.006225,0.04011,0.152483
3045,300,2,3,5,1,3,0,1,0,2,3,0,9,2,3,73.5,0.120826,2.298851,4.536119,5.482161,0.499054,0.311924
4832,735,1,1,4,2,3,0,3,1,0,4,1,10,1,5,70.5,0.144903,1.448675,3.153264,0.112175,0.492005,0.235153
5909,776,1,6,8,0,3,1,0,1,0,1,0,12,1,1,72.5,0.87209,7.277035,5.866061,150.920578,0.918901,0.745528
11357,1149,0,1,5,1,4,0,0,1,0,2,0,9,1,2,77.0,0.386967,3.522057,4.431878,32.259874,0.971319,0.53985
2600,300,0,1,3,0,3,1,1,1,0,2,0,8,1,2,79.0,0.628635,5.0,3.766492,15.191022,0.779862,0.522964
2800,509,2,1,5,1,4,0,2,0,0,2,0,11,0,2,75.0,0.6842,8.928571,6.23333,54.374089,0.542836,0.744134
3292,300,0,0,2,0,1,0,0,0,0,1,1,3,0,2,91.0,0.350464,3.948967,3.256079,8.0249,0.9764,0.433609
6688,796,2,3,8,0,4,3,0,0,0,4,1,15,0,5,62.5,0.601346,5.083732,5.384925,9.487016,0.445111,0.487627
4515,449,1,0,0,1,1,1,0,0,0,0,0,2,0,0,96.0,0.406016,5.094131,4.23756,9.476079,0.264675,0.426132
5130,949,1,1,6,2,3,1,0,1,0,2,1,10,1,3,73.5,0.701727,4.678363,5.066235,6.588116,0.465432,0.531239
14401,900,3,2,5,0,1,0,1,0,0,1,0,7,0,1,84.5,0.985215,8.679953,6.656282,192.075528,0.99879,0.787845
6097,1268,4,1,6,4,9,2,2,2,1,5,1,19,3,6,47.0,0.02006,1.476136,3.597293,0.167351,0.509468,0.287291
7311,658,0,1,4,0,2,0,0,0,0,1,1,6,0,2,85.0,0.919976,8.343592,6.214048,75.010253,0.573143,0.747443
5128,672,4,2,5,2,5,2,3,2,0,1,0,15,2,1,64.5,0.08968,2.535101,3.193963,0.663857,0.069317,0.205102
6705,1190,1,2,10,0,6,1,2,2,1,1,2,19,3,3,51.5,0.330128,2.833706,3.24794,6.023899,0.537511,0.306427
15889,1054,1,2,11,2,5,0,1,0,2,4,0,17,2,4,56.0,0.792824,7.489458,6.346158,91.404516,0.916943,0.718147
5509,823,2,3,6,2,2,1,1,1,0,3,0,10,1,3,73.5,0.085411,2.904338,2.523137,1.034236,0.463539,0.297454
3200,375,0,0,3,0,1,4,0,0,0,1,0,8,0,1,82.5,0.672803,4.375,5.152596,6.28917,0.406659,0.583053
2209,331,2,1,4,0,5,1,0,0,0,1,0,10,0,1,78.5,0.175791,2.263468,4.208723,1.717611,0.547916,0.344872
6671,957,4,3,20,0,7,3,2,2,1,2,3,32,3,5,22.5,0.985637,12.29201,5.842655,292.868202,0.856756,0.771881
3823,300,0,0,2,0,4,1,0,2,0,2,1,7,2,3,77.5,0.600822,8.631964,5.871108,14.311105,0.897807,0.64076
8630,1371,2,1,5,2,6,1,4,0,1,4,1,16,1,5,58.5,0.057077,1.158749,3.106179,2.691606,0.199842,0.242567
5976,640,2,3,6,1,4,1,4,1,0,2,1,15,1,3,63.5,0.603676,2.677376,4.759733,5.954957,0.779971,0.421042
4978,602,1,4,5,0,7,0,1,0,0,3,0,13,0,3,69.5,0.057537,2.611491,3.801529,2.387239,0.790466,0.294209
2600,300,1,0,4,2,4,0,2,0,0,1,1,10,0,2,77.0,0.7102,6.538462,5.476907,33.525975,0.988796,0.646082
9968,1124,2,2,11,1,9,4,1,0,0,2,3,25,0,5,42.5,0.615758,5.718299,5.024079,27.567074,0.664895,0.557287
11872,742,2,1,4,1,8,2,0,1,0,4,1,14,1,5,62.5,0.886792,5.390836,5.734721,37.718514,0.959421,0.676636
5729,674,1,1,3,2,8,2,4,3,0,3,1,17,3,4,54.0,0.136346,1.396404,2.85532,0.207587,0.481033,0.116847
